REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
WESTERN,SHAMA AHANTA EAST,1993,MAIZE,366,0.95,348
WESTERN,WEST AHANTA,1993,MAIZE,1513,1,1513
WESTERN,MPORHOR WASSA EAST,1993,MAIZE,2948,1.08,3184
WESTERN,WASSA WEST,1993,MAIZE,3672,1,3672
WESTERN,EAST NZEMA,1993,MAIZE,1050,0.85,893
WESTERN,JOMORO,1993,MAIZE,850,0.85,723
WESTERN,WASSA AMENFI,1993,MAIZE,7092,1.15,8156
WESTERN,AOWIN -SUAMAN,1993,MAIZE,5710,1.08,6168
WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,MAIZE,4392,1.16,5095
WESTERN,SEFWI-WIAWSO,1993,MAIZE,6713,1.2,8056
WESTERN,JUABESO-BIA,1993,MAIZE,8254,1.25,10302
WESTERN,SHAMA AHANTA EAST,1993,RICE,55,1.09,60
WESTERN,WEST AHANTA,1993,RICE,30,1,30
WESTERN,MPORHOR WASSA EAST,1993,RICE,232,1.15,267
WESTERN,WASSA WEST,1993,RICE,980,1.18,1156
WESTERN,EAST NZEMA,1993,RICE,380,1,380
WESTERN,JOMORO,1993,RICE,240,1,240
WESTERN,WASSA AMENFI,1993,RICE,2163,1.2,2597
WESTERN,AOWIN -SUAMAN,1993,RICE,1135,1.2,1360
WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,RICE,1010,1.18,1188
WESTERN,SEFWI-WIAWSO,1993,RICE,1325,1.2,1590
WESTERN,JUABESO-BIA,1993,RICE,2010,1.3,2612
WESTERN,SHAMA AHANTA EAST,1993,CASSAVA,1632,7.4,12076
WESTERN,WEST AHANTA,1993,CASSAVA,4704,8.5,39984
WESTERN,MPORHOR WASSA EAST,1993,CASSAVA,4873,8.7,42395
WESTERN,WASSA WEST,1993,CASSAVA,4322,7.7,33279
WESTERN,EAST NZEMA,1993,CASSAVA,3450,8.5,29325
WESTERN,JOMORO,1993,CASSAVA,4804,8.8,42275
WESTERN,WASSA AMENFI,1993,CASSAVA,6145,9,55305
WESTERN,AOWIN -SUAMAN,1993,CASSAVA,5862,9.1,53353
WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,CASSAVA,5294,9.2,48705
WESTERN,SEFWI-WIAWSO,1993,CASSAVA,5244,9.9,51916
WESTERN,JUABESO-BIA,1993,CASSAVA,5740,10.4,59717
WESTERN,WEST AHANTA,1993,YAM,25,3.8,95
WESTERN,MPORHOR WASSA EAST,1993,YAM,147,4,588
WESTERN,WASSA WEST,1993,YAM,124,3.54,439
WESTERN,WASSA AMENFI,1993,YAM,865,5.4,4671
WESTERN,AOWIN -SUAMAN,1993,YAM,716,4.9,3508
WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,YAM,1440,5.5,7920
WESTERN,SEFWI-WIAWSO,1993,YAM,1620,5.7,9234
WESTERN,JUABESO-BIA,1993,YAM,3913,5.8,22695
CENTRAL,UPPER DENKYIRA,1993,MAIZE,6480,1.2,7774
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1993,MAIZE,3883,1.2,4657
CENTRAL,ASSIN NORTH,1993,MAIZE,5925,1.2,7110
CENTRAL,ABURA-ASEBU-KWAMANKESE,1993,MAIZE,4675,1.2,5610
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1993,MAIZE,4121,1.2,4944
CENTRAL,MFANTSIMAN,1993,MAIZE,7645,1.2,9173
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,1993,MAIZE,4490,1.2,5388
CENTRAL,AJUMAKO-ENYAN-ESIAM,1993,MAIZE,3592,1.2,4308
CENTRAL,AWUTU-EFUTU-SENYA,1993,MAIZE,13451,1.2,16140
CENTRAL,GOMOA,1993,MAIZE,2304,1.2,2764
CENTRAL,CAPE COAST,1993,MAIZE,3944,1.2,4732
CENTRAL,AGONA,1993,MAIZE,6910,1.2,8290
CENTRAL,UPPER DENKYIRA,1993,RICE,197,1.12,220
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1993,RICE,90,1.11,100
CENTRAL,ASSIN NORTH,1993,RICE,233,1.07,250
CENTRAL,UPPER DENKYIRA,1993,CASSAVA,5278,8.9,46974
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1993,CASSAVA,4061,8.9,36142
CENTRAL,ASSIN NORTH,1993,CASSAVA,4986,8.9,44375
CENTRAL,ABURA-ASEBU-KWAMANKESE,1993,CASSAVA,3515,8.9,31284
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1993,CASSAVA,4004,8.9,35636
CENTRAL,MFANTSIMAN,1993,CASSAVA,5842,8.9,51994
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,1993,CASSAVA,4064,8.9,36170
CENTRAL,AJUMAKO-ENYAN-ESIAM,1993,CASSAVA,3112,8.9,27697
CENTRAL,AWUTU-EFUTU-SENYA,1993,CASSAVA,5217,8.9,46431
CENTRAL,GOMOA,1993,CASSAVA,2134,8.9,18993
CENTRAL,CAPE COAST,1993,CASSAVA,3777,8.9,33615
CENTRAL,AGONA,1993,CASSAVA,5510,8.9,49039
CENTRAL,UPPER DENKYIRA,1993,YAM,463,5.2,2408
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1993,YAM,392,5.2,2038
CENTRAL,ASSIN NORTH,1993,YAM,322,5.2,1674
CENTRAL,ABURA-ASEBU-KWAMANKESE,1993,YAM,223,5.2,1160
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1993,YAM,340,5.2,1768
CENTRAL,MFANTSIMAN,1993,YAM,221,5.2,1149
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,1993,YAM,34,5.21,177
CENTRAL,AJUMAKO-ENYAN-ESIAM,1993,YAM,214,5.2,1113
CENTRAL,AWUTU-EFUTU-SENYA,1993,YAM,382,5.2,1986
CENTRAL,GOMOA,1993,YAM,48,5.21,250
CENTRAL,AGONA,1993,YAM,461,5.2,2397
VOLTA,NORTH TONGU,1993,MAIZE,3540,0.6,2120
VOLTA,SOUTH TONGU (SOGAKOPE),1993,MAIZE,2000,0.6,1200
VOLTA,AKATSI,1993,MAIZE,3300,0.6,1980
VOLTA,KETA,1993,MAIZE,1500,0.6,900
VOLTA,DENU/DZODZE(KETU),1993,MAIZE,3900,1.2,4680
VOLTA,KPANDO,1993,MAIZE,3200,1.7,5440
VOLTA,HOHOE MUNICIPAL,1993,MAIZE,5500,1.7,9350
VOLTA,JASIKAN,1993,MAIZE,4500,1.6,7200
VOLTA,KADJEBI,1993,MAIZE,4000,1.8,7200
VOLTA,NKWANTA,1993,MAIZE,4140,1.8,7450
VOLTA,KETE-KRACHI,1993,MAIZE,5800,1.8,10440
VOLTA,HO MUNICIPAL,1993,MAIZE,5100,1.4,7140
VOLTA,NORTH TONGU,1993,RICE,600,3.6,2160
VOLTA,DENU/DZODZE(KETU),1993,RICE,450,4.31,1940
VOLTA,KPANDO,1993,RICE,300,3.7,1110
VOLTA,HOHOE MUNICIPAL,1993,RICE,400,3.7,1480
VOLTA,JASIKAN,1993,RICE,250,3.68,920
VOLTA,KADJEBI,1993,RICE,150,3.73,560
VOLTA,NKWANTA,1993,RICE,200,3.7,740
VOLTA,KETE-KRACHI,1993,RICE,1500,3.7,5550
VOLTA,NORTH TONGU,1993,CASSAVA,2500,10.5,26250
VOLTA,SOUTH TONGU (SOGAKOPE),1993,CASSAVA,1200,10.5,12600
VOLTA,AKATSI,1993,CASSAVA,4510,10.5,47340
VOLTA,KETA,1993,CASSAVA,1200,8,9600
VOLTA,DENU/DZODZE(KETU),1993,CASSAVA,8000,10.5,84000
VOLTA,KPANDO,1993,CASSAVA,4000,17.5,70000
VOLTA,HOHOE MUNICIPAL,1993,CASSAVA,4500,17.5,78750
VOLTA,JASIKAN,1993,CASSAVA,5000,17.5,87500
VOLTA,KADJEBI,1993,CASSAVA,4000,17.5,70000
VOLTA,NKWANTA,1993,CASSAVA,7500,17.5,131250
VOLTA,KETE-KRACHI,1993,CASSAVA,6800,17.5,119000
VOLTA,HO MUNICIPAL,1993,CASSAVA,4550,14.5,65980
VOLTA,KPANDO,1993,YAM,400,4.08,1630
VOLTA,HOHOE MUNICIPAL,1993,YAM,650,3,1950
VOLTA,JASIKAN,1993,YAM,1200,5.42,6500
VOLTA,KADJEBI,1993,YAM,350,23.31,8160
VOLTA,NKWANTA,1993,YAM,5500,1.36,7500
VOLTA,KETE-KRACHI,1993,YAM,7600,, -   
VOLTA,HO MUNICIPAL,1993,YAM,800,0.63,500
ASHANTI,BEKWAI MUNI (AMANSIE EAST),1993,MAIZE,5000,1.7,8500
ASHANTI,AMANSIE WEST,1993,MAIZE,9000,1.8,16200
ASHANTI,EJURA SEKYEREDUMASE,1993,MAIZE,11500,2,23000
ASHANTI,SEKYERE WEST ,1993,MAIZE,8000,2,16000
ASHANTI,SEKYERE EAST,1993,MAIZE,4500,1.8,8100
ASHANTI,AFIGYA SEKYERE,1993,MAIZE,6200,1.6,9920
ASHANTI,AHAFO ANO NORTH,1993,MAIZE,3200,1.5,4800
ASHANTI,AHAFO ANO SOUTH,1993,MAIZE,6000,1.6,9600
