Year,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,AVERAGE
YAM (KG),250,250,250,250,250,250,250,250,250,250,250,250,250
1970,0.0032,0.0031,0.0035,0.0037,0.004,0.0039,0.0036,0.0037,0.0031,0.003,0.0033,0.0035,0.003466666667
1971,0.0037,0.0039,0.004,0.0034,0.0051,0.0054,0.0039,0.0034,0.003,0.003,0.0034,0.0042,0.003866666667
1972,0.0038,0.0044,0.0045,0.0051,0.0061,0.0065,0.0041,0.0035,0.0031,0.0035,0.0041,0.0044,0.004425
1973,0.0045,0.0053,0.0057,0.006,0.0067,0.0067,0.0055,0.0047,0.0043,0.0042,0.0054,0.0063,0.005441666667
1974,0.0068,0.007,0.0075,0.0077,0.0081,0.009,0.007,0.0057,0.0053,0.0056,0.0066,0.0073,0.006966666667
1975,0.0083,0.0088,0.009,0.0089,0.0106,0.0099,0.0093,0.0071,0.0073,0.0157,0.0089,0.0105,0.009525
1976,0.0123,0.0106,0.0122,0.0138,0.0136,0.0164,0.0168,0.0144,0.0139,0.0116,0.0118,0.0182,0.0138
1977,0.028,0.02,0.0165,0.0295,0.0291,0.0443,0.044,0.0303,0.0245,0.0238,0.0311,0.0282,0.02910833333
1978,0.0388,0.0416,0.0414,0.0502,0.059,0.0688,0.0565,0.0418,0.0351,0.0348,0.046,0.0518,0.04715
1979,0.032,0.0541,0.0727,0.0653,0.083,0.0773,0.0576,0.0481,0.0407,0.0516,0.0559,0.0636,0.05849166667
1980,0.0693,0.0689,0.078,0.0894,0.0875,0.1145,0.1035,0.1155,0.1139,0.099,0.1011,0.108,0.09571666667
1981,0.1072,0.1187,0.1406,0.1562,0.1668,0.23,0.2414,0.1393,0.1287,0.1408,0.1392,0.1448,0.154475
1982,0.1923,0.1266,0.1379,0.1779,0.2586,0.2426,0.3056,0.2442,0.2075,0.2131,0.2577,0.2236,0.2156333333
1983,0.3171,0.392,0.4934,0.6518,0.6448,0.7279,1.0752,0.7195,0.7371,0.7142,0.9716,0.9788,0.70195
