,Year,MONTH,PRICE
0,1970,JANUARY,0.0032
1,1971,JANUARY,0.0037
2,1972,JANUARY,0.0038
3,1973,JANUARY,0.0045
4,1974,JANUARY,0.0068
5,1975,JANUARY,0.0083
6,1976,JANUARY,0.0123
7,1977,JANUARY,0.027999999999999997
8,1978,JANUARY,0.0388
9,1979,JANUARY,0.032
10,1980,JANUARY,0.0693
11,1981,JANUARY,0.1072
12,1982,JANUARY,0.1923
13,1983,JANUARY,0.3171
14,1984,JANUARY,0.1205
15,1985,JANUARY,0.6713
16,1986,JANUARY,0.6873
17,1987,JANUARY,0.6917
18,1988,JANUARY,1.6568
19,1989,JANUARY,1.9201
20,1990,JANUARY,2.2347
21,1991,JANUARY,3.0079
22,1992,JANUARY,2.3458
23,1993,JANUARY,3.1387
24,1994,JANUARY,3.9947
25,1995,JANUARY,6.2848
26,1996,JANUARY,8.5925
27,1997,JANUARY,10.4233
28,1998,JANUARY,13.5954
29,1999,JANUARY,17.1662
30,2000,JANUARY,14.9471
31,2001,JANUARY,25.3173
32,2002,JANUARY,35.9778
33,2003,JANUARY,44.1266
34,2004,JANUARY,49.3146
35,2005,JANUARY,52.56100000000001
36,2006,JANUARY,60.863
37,2007,JANUARY,63.03
38,2008,JANUARY,84.27
39,2009,JANUARY,108.8
40,2010,JANUARY,130.19
41,2011,JANUARY,154.22
42,2012,JANUARY,185.25
43,2013,JANUARY,245.7
44,2014,JANUARY,231.59
45,2015,JANUARY,256.87
46,2016,JANUARY,375.13
47,2017,JANUARY,473.95
48,1970,FEBRUARY,0.0031
49,1971,FEBRUARY,0.0039
50,1972,FEBRUARY,0.0044
51,1973,FEBRUARY,0.0053
52,1974,FEBRUARY,0.006999999999999999
53,1975,FEBRUARY,0.0088
54,1976,FEBRUARY,0.0106
55,1977,FEBRUARY,0.02
56,1978,FEBRUARY,0.0416
57,1979,FEBRUARY,0.0541
58,1980,FEBRUARY,0.0689
59,1981,FEBRUARY,0.1187
60,1982,FEBRUARY,0.1266
61,1983,FEBRUARY,0.392
62,1984,FEBRUARY,1.0092
63,1985,FEBRUARY,0.5889
64,1986,FEBRUARY,0.6758
65,1987,FEBRUARY,1.0221
66,1988,FEBRUARY,1.6591
67,1989,FEBRUARY,2.1409
68,1990,FEBRUARY,2.4844
69,1991,FEBRUARY,3.1432
70,1992,FEBRUARY,2.4107
71,1993,FEBRUARY,3.5129
72,1994,FEBRUARY,4.6182
73,1995,FEBRUARY,6.7097
74,1996,FEBRUARY,9.1551
75,1997,FEBRUARY,11.3571
76,1998,FEBRUARY,18.1212
77,1999,FEBRUARY,19.0487
78,2000,FEBRUARY,15.3279
79,2001,FEBRUARY,27.8776
80,2002,FEBRUARY,40.1551
81,2003,FEBRUARY,47.1985
82,2004,FEBRUARY,47.7016
83,2005,FEBRUARY,54.16
84,2006,FEBRUARY,65.55
85,2007,FEBRUARY,66.91
86,2008,FEBRUARY,90.72
87,2009,FEBRUARY,115.5
88,2010,FEBRUARY,139.96
89,2011,FEBRUARY,150.1
90,2012,FEBRUARY,195.75
91,2013,FEBRUARY,251.8
92,2014,FEBRUARY,240.31
93,2015,FEBRUARY,259.37
94,2016,FEBRUARY,382.98
95,2017,FEBRUARY,476.47
96,1970,MARCH,0.0035
97,1971,MARCH,0.004
98,1972,MARCH,0.0045
99,1973,MARCH,0.0057
100,1974,MARCH,0.0075
101,1975,MARCH,0.009000000000000001
102,1976,MARCH,0.0122
103,1977,MARCH,0.0165
104,1978,MARCH,0.0414
105,1979,MARCH,0.0727
106,1980,MARCH,0.078
107,1981,MARCH,0.1406
108,1982,MARCH,0.1379
109,1983,MARCH,0.4934
110,1984,MARCH,1.0384
111,1985,MARCH,0.7955
112,1986,MARCH,0.872
113,1987,MARCH,1.3245
114,1988,MARCH,1.9582
115,1989,MARCH,2.3555
116,1990,MARCH,2.3851
117,1991,MARCH,3.1835
118,1992,MARCH,2.5869
119,1993,MARCH,3.8287
120,1994,MARCH,5.1978
121,1995,MARCH,7.122000000000001
122,1996,MARCH,9.2049
123,1997,MARCH,12.7028
124,1998,MARCH,15.8804
125,1999,MARCH,19.0244
126,2000,MARCH,17.1739
127,2001,MARCH,28.4196
128,2002,MARCH,39.8746
129,2003,MARCH,49.3975
130,2004,MARCH,47.6452
131,2005,MARCH,61.618
132,2006,MARCH,64.8
133,2007,MARCH,71.75
134,2008,MARCH,96.81
135,2009,MARCH,109.32
136,2010,MARCH,142.42
137,2011,MARCH,160.43
138,2012,MARCH,203.77
139,2013,MARCH,250.0
140,2014,MARCH,252.87
141,2015,MARCH,277.06
142,2016,MARCH,423.63
143,2017,MARCH,528.26
144,1970,APRIL,0.0037
145,1971,APRIL,0.0034
146,1972,APRIL,0.0051
147,1973,APRIL,0.006
148,1974,APRIL,0.0077
149,1975,APRIL,0.0089
150,1976,APRIL,0.0138
151,1977,APRIL,0.0295
152,1978,APRIL,0.0502
153,1979,APRIL,0.0653
154,1980,APRIL,0.0894
155,1981,APRIL,0.1562
156,1982,APRIL,0.1779
157,1983,APRIL,0.6518
158,1984,APRIL,0.9408
159,1985,APRIL,1.0185
160,1986,APRIL,0.8704
161,1987,APRIL,1.0486
162,1988,APRIL,2.2441
163,1989,APRIL,2.6179
