,Month,1970,1971,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,JANUARY,0.0032,0.0037,0.0045,0.0068,0.0083,0.0123,0.028,0.0388,0.032,0.0693,0.1072,0.1923,0.3171,0.1205,0.6713,0.6873,0.6917,1.6568,1.9201,2.2347,3.0079,2.3458,3.1387,3.9947,6.2848,8.5925,10.4233,13.5954,17.1662,14.9471,25.3173,35.9778,44.1266,49.3146,52.561,60.863,63.03,84.27,108.8,130.19,154.22,185.25,245.7,231.59,256.87,375.13,473.95
1,FEBRUARY,0.0031,0.0039,0.0053,0.007,0.0088,0.0106,0.02,0.0416,0.0541,0.0689,0.1187,0.1266,0.392,1.0092,0.5889,0.6758,1.0221,1.6591,2.1409,2.4844,3.1432,2.4107,3.5129,4.6182,6.7097,9.1551,11.3571,18.1212,19.0487,15.3279,27.8776,40.1551,47.1985,47.7016,54.16,65.55,66.91,90.72,115.5,139.96,150.1,195.75,251.8,240.31,259.37,382.98,476.47
2,MARCH,0.0035,0.004,0.0057,0.0075,0.009,0.0122,0.0165,0.0414,0.0727,0.078,0.1406,0.1379,0.4934,1.0384,0.7955,0.872,1.3245,1.9582,2.3555,2.3851,3.1835,2.5869,3.8287,5.1978,7.122,9.2049,12.7028,15.8804,19.0244,17.1739,28.4196,39.8746,49.3975,47.6452,61.618,64.8,71.75,96.81,109.32,142.42,160.43,203.77,250,252.87,277.06,423.63,528.26
3,APRIL,0.0037,0.0034,0.006,0.0077,0.0089,0.0138,0.0295,0.0502,0.0653,0.0894,0.1562,0.1779,0.6518,0.9408,1.0185,0.8704,1.0486,2.2441,2.6179,3.0331,3.4923,3.1808,4.5055,5.9057,8.8462,10.0461,15.3994,16.8611,20.6363,20.353,32.7745,44.1892,49.3084,56.3877,73.5255,72.847,83.09,113.13,123.93,153.88,173.61,208.18,270.32,263.83,287.39,473.1,561.18
4,MAY,0.004,0.0051,0.0067,0.0081,0.0106,0.0136,0.0291,0.059,0.083,0.0875,0.1668,0.2586,0.6448,0.9967,0.7202,0.885,1.1953,2.5795,2.8802,3.7781,3.7553,3.5234,5.0629,6.203,10.8973,11.7041,17.3003,20.8156,21.8177,21.8481,42.4474,49.7867,53.0184,62.4502,77.123,80.745,97.46,124.89,130.9,167.71,190.91,246.16,297.4,295.13,345.26,524.89,551.12
5,JUNE,0.0039,0.0054,0.0067,0.009,0.0099,0.0164,0.0443,0.0688,0.0773,0.1145,0.23,0.2426,0.7279,0.9285,0.6454,0.9964,1.2219,2.701,3.2042,3.7661,4.3023,3.9924,6.0577,7.1049,12.3594,13.3537,20.114,42,19.9202,22.8998,49.9912,56.6357,64.7137,68.987,92.055,88.42,113.92,131.54,135.03,194.79,194.23,280.46,282.81,344.45,378.35,507,637.65
6,JULY,0.0036,0.0039,0.0055,0.007,0.0093,0.0168,0.044,0.0565,0.0576,0.1035,0.2414,0.3056,1.0752,0.7188,0.884,1.0172,1.176,2.161,3.1102,4.489,3.3372,4.2369,5.4566,6.3907,12.8746,12.3145,16.6678,46,16.9851,25.2753,50.8701,53.0884,56.7211,65.2491,90.079,88.4145,113.78,129.53,121.35,196.37,202.1,258.3,265.8,322.36,376.93,507.53,589.93
7,AUGUST,0.0037,0.0034,0.0047,0.0057,0.0071,0.0144,0.0303,0.0418,0.0481,0.1155,0.1393,0.2442,0.7195,0.4622,0.574,0.9526,1.1071,1.8885,2.4946,3.984,2.6982,2.8831,3.7417,5.863,7.255,8.7488,15.7226,38.62,14.7612,33.335,63.3,41.4691,42.2163,67.8046,61.579,70.075,80.91,94.41,112.04,140.13,156.6,203.1,216.6,285.3,368.4,422.7,524.45
8,SEPTEMBER,0.0031,0.003,0.0043,0.0053,0.0073,0.0139,0.0245,0.0351,0.0407,0.1139,0.1287,0.2075,0.7371,0.5101,0.5551,0.8824,1.0751,1.683,1.861,2.302,2.1079,2.1722,2.9652,4.623,5.7687,7.152,12.5781,21.05,13.0303,21.49671,33.1567,31.9212,37.036,41.8697,53.841,60.901,66.8,80.7,112.4,115.82,132.91,185.46,183.9,239.67,301.04,383.06,482.71
